UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1380,M11379,L,303.7,313.7,1410,38.8,120,0
1381,M11380,M,301.4,311.8,1516,34.8,138,0
1382,M11381,L,299.0,309.0,1257,29.3,81,0
1383,M11382,H,304.3,312.9,1898,21.5,210,0
1384,M11383,L,298.8,307.4,1765,37.8,189,0
1385,M11384,L,301.5,311.3,1573,26.4,195,0
1386,M11385,L,300.6,310.4,1630,47.0,35,0
1387,M11386,H,302.6,313.5,1610,40.3,101,0
1388,M11387,L,303.1,313.9,1787,55.4,136,0
1389,M11388,M,300.1,310.7,1446,42.2,32,0
1390,M11389,L,298.5,308.2,1670,32.8,93,0
1391,M11390,L,300.9,309.5,1732,21.4,22,0
1392,M11391,M,298.6,309.1,1757,48.0,243,0
1393,M11392,L,304.0,314.6,1135,27.1,190,0
1394,M11393,H,300.3,307.9,1432,36.0,157,0
1395,M11394,L,299.3,308.4,1357,56.6,52,0
1396,M11395,L,300.4,309.7,1566,46.0,85,0
1397,M11396,L,297.3,307.4,1178,43.9,37,0
1398,M11397,L,298.1,307.3,1173,49.3,136,0
1399,M11398,L,302.4,312.4,1927,49.0,208,0
1400,M11399,L,298.7,308.5,1650,55.7,5,0
1401,M11400,L,297.9,307.7,1561,34.0,26,0
1402,M11401,H,301.1,310.4,1604,36.3,58,0
1403,M11402,L,302.4,311.7,1565,30.9,181,0
1404,M11403,H,301.4,310.4,1718,39.7,226,0
1405,M11404,L,302.0,312.4,1426,38.7,191,0
1406,M11405,H,298.5,309.1,1572,22.6,133,0
1407,M11406,M,297.2,306.4,1580,33.5,27,0
1408,M11407,L,303.0,314.5,1352,54.2,191,0
1409,M11408,H,299.4,309.0,1768,42.4,27,0
1410,M11409,L,299.5,311.0,1459,47.1,88,0
1411,M11410,L,302.7,312.0,1721,38.8,78,0
1412,M11411,H,301.1,309.1,1560,21.3,91,0
1413,M11412,L,300.9,311.3,1831,38.7,83,0
1414,M11413,M,304.3,314.6,1353,50.3,195,1
1415,M11414,H,298.7,308.7,1345,28.3,43,0
1416,M11415,M,301.9,311.2,1377,47.4,214,0
1417,M11416,M,300.1,310.1,1563,23.2,217,0
1418,M11417,M,300.5,310.0,1815,40.2,124,0
1419,M11418,M,303.1,312.8,1824,45.4,27,0
1420,M11419,H,301.0,311.9,1126,36.9,146,0
1421,M11420,M,301.1,311.3,1584,64.5,208,0
1422,M11421,M,302.1,312.8,964,35.1,73,0
1423,M11422,M,299.3,309.0,1681,34.3,212,0
1424,M11423,M,298.3,308.0,1739,42.0,171,0
1425,M11424,H,297.9,306.8,1532,32.5,250,0
1426,M11425,L,296.1,305.7,1554,25.7,209,0
1427,M11426,L,304.1,310.8,1552,29.1,51,0
1428,M11427,M,297.8,307.2,1399,47.5,114,0
1429,M11428,L,299.6,309.5,1616,37.0,26,0
1430,M11429,H,299.4,310.0,1498,56.9,18,0
1431,M11430,H,300.6,310.3,1706,35.6,179,0
1432,M11431,L,301.6,312.0,1519,47.0,231,0
1433,M11432,L,301.7,309.5,1385,45.1,246,0
1434,M11433,M,298.8,308.8,1264,35.5,68,0
1435,M11434,L,299.7,308.0,1205,31.3,51,0
1436,M11435,H,300.6,309.4,1774,22.9,142,0
1437,M11436,L,299.5,309.3,1457,45.5,51,0
1438,M11437,H,303.2,314.5,1600,51.9,75,0
1439,M11438,L,301.0,311.4,1858,24.3,212,0
1440,M11439,L,301.5,311.5,1438,36.3,205,0
1441,M11440,L,301.3,311.3,1427,33.4,226,0
1442,M11441,H,302.3,311.6,1515,45.5,122,0
1443,M11442,L,300.4,309.8,1544,36.7,143,0
1444,M11443,L,297.4,307.8,1877,53.1,195,0
1445,M11444,L,300.8,309.4,1819,36.2,61,0
1446,M11445,L,298.7,309.3,1650,27.8,208,0
1447,M11446,L,298.9,308.6,1798,35.4,4,0
1448,M11447,L,301.2,312.0,1507,36.4,202,0
1449,M11448,H,302.5,313.4,1593,45.2,196,0
1450,M11449,L,300.0,308.4,1485,36.3,76,0
1451,M11450,L,300.6,310.0,1308,44.4,184,0
1452,M11451,L,303.4,312.5,1754,32.2,54,0
1453,M11452,L,300.5,308.7,1634,37.1,146,0
1454,M11453,H,305.2,314.2,1542,32.2,177,0
1455,M11454,L,301.1,313.6,1539,31.6,181,0
1456,M11455,L,296.5,307.1,1269,52.6,249,0
1457,M11456,H,301.5,313.4,1364,32.9,46,0
1458,M11457,L,300.8,311.6,1599,36.6,122,0
1459,M11458,L,302.6,311.8,1444,50.3,223,0
1460,M11459,H,301.3,311.0,1500,47.4,142,0
1461,M11460,M,299.7,310.3,1520,56.2,222,0
1462,M11461,L,297.6,308.0,1417,44.8,110,0
1463,M11462,M,299.6,309.0,1366,34.1,201,0
1464,M11463,L,298.3,306.8,1250,60.4,220,0
1465,M11464,L,298.8,312.1,1513,45.8,214,0
1466,M11465,H,301.2,311.0,1650,38.5,220,0
1467,M11466,H,303.3,313.0,1245,40.6,56,0
1468,M11467,M,300.8,310.9,1535,41.8,111,0
1469,M11468,M,297.6,307.4,1589,37.7,44,0
1470,M11469,L,300.9,311.0,1362,26.4,46,0
1471,M11470,M,302.4,313.7,1794,56.1,123,0
1472,M11471,L,298.8,308.7,1470,39.8,243,0
1473,M11472,M,299.7,308.6,1521,41.8,150,0
1474,M11473,M,300.0,309.9,1510,60.6,216,0
1475,M11474,M,298.4,308.0,1222,33.2,237,0
1476,M11475,L,301.3,312.7,1720,46.5,22,0
1477,M11476,L,299.8,310.9,1368,32.2,41,0
1478,M11477,L,300.8,310.9,1497,43.2,74,0
1479,M11478,L,298.2,306.9,1646,42.0,156,0
1480,M11479,L,299.1,307.9,1801,47.8,16,0
1481,M11480,H,301.4,311.5,1346,52.0,199,0
1482,M11481,M,299.3,309.6,1459,34.3,16,0
1483,M11482,H,303.5,313.1,1786,54.0,40,0
1484,M11483,M,299.2,308.7,1622,54.7,97,0
1485,M11484,L,300.4,309.9,1659,37.5,141,0
1486,M11485,L,301.9,311.8,1351,39.9,223,0
1487,M11486,L,297.2,304.8,1471,35.1,244,0
1488,M11487,M,296.5,305.4,1509,37.0,224,0
1489,M11488,L,296.9,306.3,1385,28.1,27,0
1490,M11489,L,302.5,313.7,1239,47.7,160,0
1491,M11490,H,298.9,308.1,1448,19.7,112,0
1492,M11491,L,305.1,315.3,1781,33.1,32,0
1493,M11492,M,298.9,309.1,1550,39.5,140,0
1494,M11493,L,300.4,311.7,1785,52.9,90,0
1495,M11494,H,303.1,314.3,1571,34.6,87,0
1496,M11495,M,304.0,314.0,1402,44.2,24,0
1497,M11496,L,304.1,313.6,1768,39.2,248,0
1498,M11497,H,302.4,311.8,1577,49.4,184,0
1499,M11498,M,302.0,311.8,1711,43.7,71,0
1500,M11499,H,301.2,310.8,1348,48.2,232,0
1501,M11500,H,301.6,312.1,1725,34.5,240,0
1502,M11501,L,298.9,309.3,1730,30.0,205,0
1503,M11502,L,298.4,309.0,1591,43.6,167,0
1504,M11503,M,300.0,311.3,1395,35.2,95,0
1505,M11504,M,299.7,311.5,1531,40.3,110,0
1506,M11505,H,299.1,309.2,1648,43.1,115,0
1507,M11506,L,301.4,312.5,1581,52.3,240,0
1508,M11507,L,301.9,311.6,1647,47.8,192,0
1509,M11508,M,300.2,311.4,1720,33.3,74,0
1510,M11509,L,303.0,314.0,1423,28.7,158,0
1511,M11510,L,297.7,308.7,1332,56.9,150,0
1512,M11511,L,299.6,309.7,1532,24.3,205,0
1513,M11512,L,298.6,307.9,1480,35.5,24,0
1514,M11513,M,296.3,304.9,1680,46.4,177,0
1515,M11514,L,299.8,309.8,1347,56.2,84,0
1516,M11515,L,299.8,311.3,1722,38.1,33,0
1517,M11516,M,303.0,312.7,1781,40.3,185,0
1518,M11517,H,301.3,312.0,1539,31.3,84,0
1519,M11518,L,298.0,308.8,1550,41.3,185,0
1520,M11519,M,303.7,313.4,1402,28.6,41,0
1521,M11520,L,302.4,313.8,1442,32.6,249,0
1522,M11521,H,301.2,308.3,1466,47.6,203,0
1523,M11522,H,299.5,308.3,1797,35.7,73,0
1524,M11523,L,298.1,307.2,1526,49.1,187,0
1525,M11524,M,299.3,308.4,1302,38.5,34,0
1526,M11525,L,302.2,312.5,1585,26.4,165,0
1527,M11526,H,303.8,314.1,1687,51.6,15,0
1528,M11527,L,303.1,313.5,1534,27.0,84,0
1529,M11528,M,299.0,309.6,1802,34.0,248,0
1530,M11529,M,297.8,306.8,1678,38.0,31,0
1531,M11530,L,300.3,309.1,1351,50.0,151,0
1532,M11531,L,296.5,306.9,1440,34.8,18,0
1533,M11532,L,300.6,310.0,1579,30.8,169,0
1534,M11533,M,299.7,308.1,1241,41.6,71,0
1535,M11534,M,299.1,310.0,1599,37.9,78,0
1536,M11535,H,296.8,308.2,1224,35.4,85,0
1537,M11536,M,301.0,312.6,1722,42.1,52,0
1538,M11537,M,298.9,309.1,1701,28.1,238,0
1539,M11538,L,297.7,308.3,1629,23.0,229,0
1540,M11539,M,294.3,305.6,1418,61.2,220,0
1541,M11540,L,299.9,309.3,1569,41.0,27,0
1542,M11541,L,303.5,314.7,1447,41.7,59,0
1543,M11542,M,303.3,313.6,1354,32.3,155,0
1544,M11543,L,299.1,310.0,1478,48.9,246,0
1545,M11544,L,298.8,309.0,1664,34.7,153,0
1546,M11545,H,300.9,312.2,1547,12.4,83,0
1547,M11546,M,298.0,308.2,1799,34.4,207,0
1548,M11547,L,300.6,309.1,1676,37.2,34,0
1549,M11548,L,301.5,313.0,1657,38.3,223,0
1550,M11549,H,302.5,311.5,1251,38.0,247,0
1551,M11550,L,299.8,311.1,1488,33.6,245,0
1552,M11551,H,299.6,309.5,1348,32.7,37,0
1553,M11552,L,298.2,309.4,1506,37.1,139,0
1554,M11553,M,298.3,309.5,1415,23.7,148,0
1555,M11554,L,299.5,310.0,1471,20.6,49,0
1556,M11555,M,300.7,311.2,1729,41.0,138,0
1557,M11556,M,301.8,312.2,1624,41.1,164,0
1558,M11557,M,298.4,306.4,1719,48.7,83,0
1559,M11558,M,303.0,313.1,1252,37.5,80,0
1560,M11559,L,299.5,308.3,1549,28.2,15,0
1561,M11560,H,300.0,310.1,1712,20.8,242,0
1562,M11561,L,298.5,307.4,1809,31.2,203,0
1563,M11562,L,295.2,304.0,1262,44.2,192,0
1564,M11563,L,301.8,313.4,1476,54.3,6,0
1565,M11564,L,301.5,312.5,1724,40.5,158,0
1566,M11565,L,299.4,309.4,1505,28.0,46,0
1567,M11566,M,300.1,310.3,1376,31.3,167,0
1568,M11567,M,301.0,310.8,1262,31.6,157,0
1569,M11568,L,296.9,307.4,1369,36.0,216,0
1570,M11569,H,298.9,308.3,1237,51.1,65,0
1571,M11570,L,301.6,312.6,1549,51.9,7,0
1572,M11571,H,297.5,307.2,1699,38.3,231,0
1573,M11572,L,300.6,310.2,1313,41.8,230,0
1574,M11573,L,297.3,307.3,1585,32.1,115,0
1575,M11574,M,300.9,310.3,1690,23.1,20,0
1576,M11575,M,299.9,310.3,1539,57.7,126,0
1577,M11576,M,296.8,306.2,1251,17.0,133,0
1578,M11577,M,302.3,312.8,1608,21.8,208,0
1579,M11578,M,298.5,309.7,1529,57.8,181,0
1580,M11579,H,298.4,307.7,1511,40.2,18,0
1581,M11580,L,300.4,310.3,1441,28.9,178,0
1582,M11581,L,302.3,312.8,1555,46.8,34,0
1583,M11582,H,298.0,307.5,1630,47.7,23,0
1584,M11583,L,300.1,310.6,1967,26.8,101,0
1585,M11584,L,300.9,311.4,1559,34.7,20,0
1586,M11585,L,301.4,312.5,1809,48.7,210,0
1587,M11586,M,300.4,309.7,1603,31.9,117,0
1588,M11587,M,299.3,308.3,1521,42.8,149,0
1589,M11588,L,298.3,308.0,1566,54.1,146,0
1590,M11589,L,300.2,309.2,1320,16.3,247,0
1591,M11590,L,297.9,308.4,1594,36.6,232,0
1592,M11591,L,294.2,303.0,1182,42.6,215,0
1593,M11592,L,300.9,313.2,1385,22.3,97,0
1594,M11593,M,301.8,313.1,1559,34.8,37,0
1595,M11594,L,295.3,305.3,1753,50.3,150,0
1596,M11595,L,298.0,308.8,1795,33.0,111,0
1597,M11596,L,301.2,309.6,1497,25.3,57,0
1598,M11597,H,304.1,316.6,1567,51.2,25,0
1599,M11598,L,300.0,309.5,1715,44.4,110,0
1600,M11599,L,298.5,308.4,1301,39.3,165,0
1601,M11600,L,299.6,307.8,1611,39.0,158,0
1602,M11601,L,302.7,313.2,1391,50.2,196,0
1603,M11602,M,298.7,307.6,1508,42.9,118,0
1604,M11603,H,298.4,308.5,1457,46.4,81,0
1605,M11604,L,299.0,308.5,1617,33.1,136,0
1606,M11605,M,298.1,307.0,1638,21.0,247,0
1607,M11606,H,300.2,309.4,1699,46.2,11,0
1608,M11607,H,303.2,313.5,1601,50.9,134,0
1609,M11608,M,300.6,309.4,1570,37.8,83,0
1610,M11609,L,299.5,308.7,1871,48.8,27,0
1611,M11610,M,299.4,310.1,1266,36.7,110,0
1612,M11611,M,296.9,309.5,1843,39.1,162,0
1613,M11612,M,301.8,312.2,1487,57.3,134,0
1614,M11613,H,299.8,308.9,1641,37.1,7,0
1615,M11614,M,299.6,309.3,1481,36.5,147,0
1616,M11615,L,306.4,316.4,1413,21.5,59,0
1617,M11616,M,300.6,310.2,1626,46.8,86,0
1618,M11617,L,298.5,309.4,1726,33.0,79,0
1619,M11618,L,299.1,309.4,1624,41.5,217,0
1620,M11619,M,302.3,313.2,1442,36.9,12,0
1621,M11620,L,300.2,309.9,2185,35.6,88,0
1622,M11621,L,297.1,308.4,1754,38.8,100,0
1623,M11622,L,301.8,311.7,1706,39.6,157,0
1624,M11623,H,298.7,307.7,1476,51.6,200,0
1625,M11624,L,303.7,315.9,1427,55.1,184,1
1626,M11625,L,302.2,310.3,1489,46.4,190,0
1627,M11626,H,299.1,308.4,1733,52.6,49,0
1628,M11627,M,302.6,311.9,1362,48.5,231,0
1629,M11628,L,300.1,312.6,1348,44.9,105,0
1630,M11629,M,301.7,313.5,1636,54.4,3,0
1631,M11630,L,301.0,312.5,1596,27.0,169,0
1632,M11631,M,298.3,308.0,1401,33.2,153,0
1633,M11632,L,298.7,311.1,1344,31.9,32,0
1634,M11633,L,302.1,312.4,1796,37.0,243,0
1635,M11634,L,299.3,310.3,1603,46.8,142,0
1636,M11635,L,299.2,309.4,1295,29.0,119,0
1637,M11636,M,298.1,308.0,1307,45.0,101,0
1638,M11637,M,300.8,310.6,1474,34.2,53,0
1639,M11638,H,304.1,313.9,1670,36.6,241,0
1640,M11639,M,297.9,308.5,1646,42.0,178,0
1641,M11640,L,300.0,310.4,1742,56.6,144,0
1642,M11641,M,302.8,312.8,1272,32.9,160,0
1643,M11642,M,299.8,311.4,1579,39.2,213,0
1644,M11643,H,300.9,307.9,1794,29.3,161,0
1645,M11644,M,297.9,308.4,1778,32.9,29,0
1646,M11645,L,300.9,311.6,1603,29.2,176,0
1647,M11646,L,299.6,310.8,1959,42.4,143,0
1648,M11647,M,302.0,311.9,1648,44.2,244,1
1649,M11648,L,302.4,312.6,1726,46.8,186,0
1650,M11649,L,305.2,316.2,1547,32.5,87,0
1651,M11650,M,301.2,312.7,1399,45.0,34,0
1652,M11651,L,300.7,310.4,1382,41.1,122,0
1653,M11652,L,300.4,310.7,1572,39.4,172,0
1654,M11653,L,299.3,311.0,1501,27.7,45,0
1655,M11654,M,300.7,308.6,1222,41.5,164,0
1656,M11655,M,299.4,308.7,1355,41.8,209,0
1657,M11656,L,300.3,311.8,1482,41.0,40,0
1658,M11657,L,302.6,313.7,1669,44.0,179,0
1659,M11658,L,298.0,308.5,1536,46.9,17,0
1660,M11659,H,302.3,311.8,1526,29.1,2,1
1661,M11660,L,302.6,311.8,1362,37.9,8,0
1662,M11661,H,299.8,309.2,1543,45.1,160,0
1663,M11662,H,295.8,307.3,1775,37.3,246,0
1664,M11663,L,298.8,308.2,1567,49.5,195,0
1665,M11664,M,302.6,312.7,1269,40.9,64,0
1666,M11665,L,300.0,309.2,1315,20.6,18,0
1667,M11666,H,298.0,308.8,1644,48.3,156,0
1668,M11667,M,299.0,308.5,1499,38.8,1,0
1669,M11668,M,301.7,311.6,1526,22.5,201,0
1670,M11669,M,301.1,309.4,1429,37.5,62,0
1671,M11670,L,299.5,307.9,1629,27.4,76,0
1672,M11671,L,299.3,309.3,1485,47.5,87,0
1673,M11672,M,299.2,307.9,1506,39.6,193,0
1674,M11673,L,298.2,310.3,1387,30.9,67,0
1675,M11674,L,303.2,311.2,1704,48.0,72,0
1676,M11675,M,299.4,308.6,1499,44.5,137,0
1677,M11676,H,302.4,312.5,1648,37.7,117,0
1678,M11677,H,303.0,312.7,1325,27.7,242,0
1679,M11678,H,302.0,310.9,1849,31.7,67,0
1680,M11679,M,299.1,308.2,1768,31.5,23,0
1681,M11680,H,300.8,309.8,1197,47.4,137,0
1682,M11681,M,300.0,309.7,1395,23.4,47,0
1683,M11682,L,298.2,310.1,1624,39.5,105,0
1684,M11683,L,300.6,310.7,1303,37.5,47,0
1685,M11684,H,297.6,308.8,1515,50.3,223,0
1686,M11685,M,302.4,312.9,1615,42.3,83,0
1687,M11686,M,299.1,310.2,1506,45.3,196,0
1688,M11687,L,300.4,307.6,1635,34.8,240,0
1689,M11688,L,300.6,310.3,1415,27.8,238,0
1690,M11689,H,299.5,310.8,1137,36.8,133,0
1691,M11690,M,301.2,310.6,1715,47.7,249,0
1692,M11691,H,299.1,310.8,1714,47.7,166,0
1693,M11692,L,301.7,313.2,1987,35.7,33,0
1694,M11693,L,297.3,306.8,1144,31.5,225,0
1695,M11694,L,300.3,309.7,1673,29.5,119,0
1696,M11695,L,303.9,312.9,1187,38.6,39,0
1697,M11696,L,298.0,307.4,1853,41.4,200,0
1698,M11697,M,298.6,307.4,1626,54.6,158,0
1699,M11698,L,301.0,311.5,1369,41.2,223,0
1700,M11699,H,300.4,308.9,1679,46.1,209,0
1701,M11700,H,300.7,311.3,1440,32.3,81,0
1702,M11701,L,301.0,311.6,1593,40.4,65,1
1703,M11702,M,301.3,309.6,1576,41.4,186,0
1704,M11703,M,302.2,313.8,1851,38.6,145,0
1705,M11704,L,300.8,311.3,1864,39.8,18,0
1706,M11705,H,299.5,310.3,1432,41.2,46,0
1707,M11706,L,301.3,310.6,1728,44.8,38,0
1708,M11707,M,303.8,314.4,1603,51.6,149,0
1709,M11708,L,299.7,310.9,1286,17.6,22,0
1710,M11709,H,298.1,308.0,1414,51.0,53,0
1711,M11710,M,302.2,314.2,1957,23.1,138,0
1712,M11711,H,299.8,309.8,1603,43.1,34,0
1713,M11712,L,295.7,306.8,1718,63.3,63,0
1714,M11713,L,301.7,312.0,1501,39.6,229,0
1715,M11714,L,298.9,309.5,1442,41.8,176,0
1716,M11715,H,299.8,308.1,1544,36.9,78,0
1717,M11716,L,300.7,311.0,1491,46.6,222,0
1718,M11717,L,300.4,309.6,1272,43.6,63,0
1719,M11718,L,301.4,310.6,1359,33.3,149,0
1720,M11719,L,299.1,310.9,1666,38.9,93,0
1721,M11720,H,301.0,310.8,1471,28.9,190,0
1722,M11721,L,299.5,308.5,1544,38.8,94,1
1723,M11722,M,301.5,311.1,1581,35.8,63,0
1724,M11723,L,301.2,309.9,1595,41.4,154,0
1725,M11724,L,298.1,309.6,1744,33.0,189,0
1726,M11725,L,302.2,311.5,1342,37.9,136,0
1727,M11726,M,298.9,309.5,1641,40.1,181,0
1728,M11727,L,301.6,313.0,1674,40.8,107,0
1729,M11728,L,300.7,310.2,1715,42.7,201,0
1730,M11729,L,303.7,314.2,1286,38.3,148,0
1731,M11730,M,299.6,308.5,1585,32.2,50,0
1732,M11731,L,299.3,311.7,1846,40.8,225,0
1733,M11732,H,300.0,310.9,1521,38.2,212,0
1734,M11733,L,299.4,309.2,1626,50.1,244,0
1735,M11734,H,301.6,310.8,1679,51.4,144,0
1736,M11735,M,296.8,306.7,1355,26.4,171,0
1737,M11736,M,297.9,307.6,1867,46.1,218,0
1738,M11737,L,297.9,309.8,1628,48.1,13,0
1739,M11738,L,301.9,310.7,1632,26.7,231,0
1740,M11739,M,303.4,313.6,1241,45.7,69,0
1741,M11740,M,299.8,309.8,1681,48.9,14,1
1742,M11741,M,299.7,309.5,1630,30.6,60,0
1743,M11742,L,300.1,310.0,1830,37.7,148,0
1744,M11743,L,302.3,312.2,1483,41.8,12,0
1745,M11744,M,298.1,309.0,1362,45.6,0,0
1746,M11745,L,300.5,311.1,1417,30.2,162,0
1747,M11746,H,302.0,312.4,1449,51.5,115,0
1748,M11747,H,301.0,308.0,1339,19.9,214,0
1749,M11748,L,300.4,310.7,1770,53.1,65,1
1750,M11749,M,302.0,310.3,1777,45.4,71,0
1751,M11750,M,294.6,305.2,1504,33.8,20,0
1752,M11751,L,301.4,312.8,1469,48.6,136,0
1753,M11752,L,298.7,307.8,1214,29.6,93,0
1754,M11753,L,296.3,306.1,1664,41.1,86,0
1755,M11754,L,301.0,310.4,1835,42.4,116,0
1756,M11755,H,302.7,314.0,1425,42.3,215,0
1757,M11756,M,299.7,309.8,1518,31.7,27,0
1758,M11757,L,301.9,313.6,1617,35.1,132,0
1759,M11758,M,303.2,313.6,1848,41.3,50,0
1760,M11759,H,302.6,312.9,1575,32.8,54,0
1761,M11760,L,303.3,313.3,1574,42.7,65,0
1762,M11761,M,301.5,312.3,1571,33.9,116,0
1763,M11762,H,300.2,308.4,1284,49.9,125,0
1764,M11763,H,296.8,306.9,1280,55.5,220,0
1765,M11764,M,299.5,309.4,1394,37.1,226,0
1766,M11765,H,298.3,309.0,1720,49.1,148,0
1767,M11766,L,304.3,314.2,1479,37.9,71,0
1768,M11767,L,299.6,308.6,1444,30.7,207,0
1769,M11768,L,300.2,310.3,1441,35.8,201,0
1770,M11769,L,301.1,310.0,1514,40.8,202,1
1771,M11770,L,300.1,308.2,1844,22.3,4,0
1772,M11771,H,303.4,314.1,1512,46.2,191,0
1773,M11772,H,298.8,309.3,1398,40.9,216,0
1774,M11773,L,300.4,310.9,1544,49.9,153,0
1775,M11774,H,298.5,309.8,1853,46.0,190,0
1776,M11775,L,297.4,306.7,1449,41.2,196,0
1777,M11776,L,298.8,307.3,1328,36.5,128,0
1778,M11777,M,299.9,309.9,1449,55.1,206,0
1779,M11778,L,299.1,308.8,1562,61.5,200,0
1780,M11779,L,298.6,307.8,1662,36.6,232,0
1781,M11780,H,297.2,307.1,1719,50.3,233,0
1782,M11781,M,299.8,309.2,1352,33.0,134,0
1783,M11782,M,297.0,305.2,1369,34.2,8,0
1784,M11783,H,301.5,311.1,1481,36.2,5,0
1785,M11784,H,300.2,309.0,1662,46.8,238,0
1786,M11785,L,297.1,307.3,1313,29.4,85,0
1787,M11786,L,299.4,308.7,1430,55.3,96,0
1788,M11787,L,298.5,309.6,1433,49.3,119,0
1789,M11788,L,300.6,312.2,1708,46.5,67,0
1790,M11789,H,302.7,313.4,1634,37.1,149,1
1791,M11790,H,296.2,304.7,1701,48.2,199,0
1792,M11791,L,300.2,311.7,1779,11.1,65,0
1793,M11792,H,299.7,311.3,1484,44.4,188,0
1794,M11793,L,301.3,311.4,1326,41.6,170,0
1795,M11794,M,300.4,311.7,1328,21.3,133,0
1796,M11795,L,298.5,307.9,1210,44.0,82,0
1797,M11796,L,299.4,307.5,1457,45.8,221,0
1798,M11797,M,298.4,307.6,1470,21.6,102,0
1799,M11798,M,302.2,313.9,1680,28.3,95,0
1800,M11799,L,300.0,308.6,1542,60.4,162,0
1801,M11800,H,303.8,313.8,1451,38.2,233,0
1802,M11801,H,299.9,309.9,1518,49.7,129,0
1803,M11802,L,298.6,308.1,1353,51.2,183,0
1804,M11803,M,297.0,306.5,1723,43.9,116,0
1805,M11804,L,296.4,306.5,1398,50.1,55,0
1806,M11805,L,296.8,306.3,1335,19.1,31,0
1807,M11806,H,300.5,309.1,1685,37.7,34,0
1808,M11807,L,301.0,311.2,1642,9.5,5,0
1809,M11808,H,296.8,307.9,1230,22.7,140,0
1810,M11809,L,301.8,312.7,1692,34.6,33,0
1811,M11810,L,299.0,308.2,1406,33.4,219,0
1812,M11811,H,300.3,309.0,1472,40.4,249,0
1813,M11812,L,303.2,312.9,1572,39.8,125,0
1814,M11813,M,301.8,313.4,1644,41.3,114,0
1815,M11814,M,299.5,310.1,1619,41.7,88,0
1816,M11815,L,298.2,308.9,1530,43.3,161,0
1817,M11816,M,295.7,306.6,1463,30.5,154,0
1818,M11817,L,298.6,309.0,1613,32.8,87,0
1819,M11818,M,299.6,309.7,1518,39.6,87,0
1820,M11819,M,298.0,308.7,1862,39.8,163,0
1821,M11820,L,299.7,309.2,1644,29.3,140,0
1822,M11821,M,300.2,308.7,1374,50.7,182,0
1823,M11822,H,299.6,310.3,1454,47.2,238,0
1824,M11823,M,298.7,309.9,1548,31.5,197,0
1825,M11824,L,300.3,309.2,1772,37.9,77,0
1826,M11825,M,300.9,311.7,1792,59.9,192,0
1827,M11826,M,297.8,309.5,1468,41.6,114,0
1828,M11827,M,302.8,312.8,1372,43.9,197,0
1829,M11828,M,299.8,309.0,1349,34.0,224,0
1830,M11829,M,300.0,310.2,1584,36.9,63,0
1831,M11830,M,301.4,310.9,1951,55.0,60,0
1832,M11831,H,300.5,309.8,1635,41.1,109,0
1833,M11832,M,301.9,312.3,1254,39.3,13,0
1834,M11833,L,300.6,309.0,1409,40.1,173,0
1835,M11834,L,298.8,307.3,1427,65.2,190,0
1836,M11835,L,300.7,310.7,1392,40.4,87,0
1837,M11836,L,297.7,307.7,1470,31.8,118,0
1838,M11837,L,300.2,310.6,1605,33.5,149,0
1839,M11838,H,299.9,311.8,1661,47.7,19,0
1840,M11839,M,299.6,309.7,1734,25.9,180,0
1841,M11840,L,299.7,310.3,1633,44.5,133,0
1842,M11841,L,296.2,305.3,1189,32.8,158,0
1843,M11842,L,298.9,309.7,1350,21.6,183,0
1844,M11843,L,300.2,309.7,1511,30.3,171,0
1845,M11844,M,300.3,310.4,1565,40.3,24,0
1846,M11845,M,297.9,307.8,1693,53.8,198,0
1847,M11846,H,302.5,313.6,1547,49.0,154,0
1848,M11847,L,298.3,307.0,1548,37.1,181,0
1849,M11848,L,301.9,309.7,1582,49.6,66,0
1850,M11849,M,300.9,310.6,1493,36.5,56,0
1851,M11850,H,298.7,309.2,1555,25.5,209,0
1852,M11851,M,303.6,313.7,1741,40.2,99,0
1853,M11852,L,297.6,308.8,1524,25.1,146,0
1854,M11853,L,301.8,312.3,1534,47.8,140,0
1855,M11854,L,302.0,311.4,1533,48.0,148,0
1856,M11855,H,298.7,306.3,1771,31.3,18,0
1857,M11856,M,302.8,312.5,1341,41.4,77,0
1858,M11857,L,299.5,310.5,1857,41.3,17,0
1859,M11858,M,300.6,310.2,1328,48.6,121,0
1860,M11859,L,300.5,310.5,1422,27.7,228,0
1861,M11860,M,299.7,310.2,1672,45.9,98,0
1862,M11861,L,301.6,310.6,1723,27.0,198,0
1863,M11862,H,301.6,312.2,1288,47.7,73,0
1864,M11863,H,296.5,308.1,1343,50.5,217,0
1865,M11864,H,302.6,312.4,1589,33.4,106,0
1866,M11865,L,296.7,305.5,1959,52.1,90,0
1867,M11866,H,302.1,312.0,1762,24.4,176,0
1868,M11867,L,302.3,310.0,1495,50.9,130,0
1869,M11868,H,297.8,308.2,1106,54.2,85,0
1870,M11869,L,299.2,309.6,1554,43.4,15,0
1871,M11870,L,297.8,309.5,1604,38.1,42,0
1872,M11871,H,299.6,309.4,1470,43.1,195,0
1873,M11872,L,299.4,309.8,1387,34.0,233,0
1874,M11873,M,301.6,310.7,1567,66.0,43,0
1875,M11874,L,302.6,312.3,1370,34.2,144,0
1876,M11875,M,302.8,311.3,1874,53.0,9,0
