UDI,Product ID,Type,Air temperature [K],Process temperature [K],Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF
1279,L71053,L,297.95,309.53,24.8,36.38,1605,22.59,201,0,0,0,0,0
1280,L20062,L,299.08,310.14,25.93,36.99,1584,29.12,76,0,0,0,0,0
1281,M50220,M,299.81,309.49,26.66,36.34,1625,37.6,93,0,0,0,0,0
1282,M87592,M,299.22,307.68,26.07,34.53,1813,29.02,130,0,0,0,0,0
1283,L53769,L,299.57,310.97,26.42,37.82,1504,55.28,213,1,0,0,0,1
1284,L62293,L,300.67,312.04,27.52,38.89,1893,18.19,140,0,0,0,0,0
1285,L86275,L,299.66,308.99,26.51,35.84,1606,53.58,50,1,0,0,1,0
1286,L70442,L,299.87,310.79,26.72,37.64,1484,49.65,21,0,0,0,0,0
1287,L68947,L,296.58,306.25,23.43,33.1,1955,36.58,23,0,0,0,0,0
1288,L83067,L,300.78,312.28,27.63,39.13,1680,45.61,228,0,0,0,0,0
1289,L57530,L,299.82,309.31,26.67,36.16,1455,42.6,197,0,0,0,0,0
1290,L36916,L,303.22,315.2,30.07,42.05,1550,23.35,184,0,0,0,0,0
1291,L65835,L,298.12,308.91,24.97,35.76,1646,38.92,119,0,0,0,0,0
1292,L81636,L,296.38,308.18,23.23,35.03,1509,26.13,161,0,0,0,0,0
1293,L13650,L,301.24,310.77,28.09,37.62,1558,32.54,31,0,0,0,0,0
1294,M72046,M,300.69,311.1,27.54,37.95,1392,40.54,149,0,0,0,0,0
1295,M63949,M,297.98,307.01,24.83,33.86,1240,38.91,195,0,0,0,0,0
1296,L13672,L,296.94,307.78,23.79,34.63,1554,44.45,15,0,0,0,0,0
1297,L53489,L,303.07,313.97,29.92,40.82,1560,35.03,71,0,0,0,0,0
1298,L58048,L,302.83,315.23,29.68,42.08,1627,38.48,26,0,0,0,0,0
1299,M22513,M,295.03,305.51,21.88,32.36,1434,39.88,62,0,0,0,0,0
1300,M93734,M,299.08,309.81,25.93,36.66,1300,45.07,185,0,0,0,0,0
1301,L72283,L,303.33,312.86,30.18,39.71,1366,34.85,80,0,0,0,0,0
1302,H71296,H,299.05,309.59,25.9,36.44,1720,23.92,166,0,0,0,0,0
1303,L53991,L,299.02,308.64,25.87,35.49,1418,39.17,186,0,0,0,0,0
1304,L23636,L,299.43,309.55,26.28,36.4,1458,31.58,196,0,0,0,0,0
1305,M51801,M,297.76,307.93,24.61,34.78,1480,49.85,210,0,0,0,0,0
1306,M42078,M,296.59,306.24,23.44,33.09,1427,29.15,143,0,0,0,0,0
1307,M74717,M,302.11,312.17,28.96,39.02,1414,59.23,67,0,0,0,0,0
1308,M45052,M,296.31,305.94,23.16,32.79,1383,43.86,36,0,0,0,0,0
1309,L42294,L,300.49,310.11,27.34,36.96,1780,32.74,121,0,0,0,0,0
1310,M51238,M,301.77,312.85,28.62,39.7,1654,30.32,25,0,0,0,0,0
1311,L71872,L,297.1,307.27,23.95,34.12,1753,37.93,219,0,0,0,0,0
1312,M60111,M,298.15,308.5,25.0,35.35,1789,30.4,106,0,0,0,0,0
1313,L27046,L,302.43,310.97,29.28,37.82,1124,53.39,210,1,0,1,0,1
1314,M29983,M,301.07,311.49,27.92,38.34,1595,42.65,170,0,0,0,0,0
1315,L90800,L,298.77,309.3,25.62,36.15,1432,45.35,206,0,0,0,0,0
1316,M96066,M,302.4,312.01,29.25,38.86,1730,43.03,212,0,0,0,0,0
1317,L99649,L,302.41,314.5,29.26,41.35,1405,45.08,13,0,0,0,0,0
1318,M12383,M,300.54,308.25,27.39,35.1,1351,34.81,174,1,0,1,0,0
1319,L62289,L,298.2,308.98,25.05,35.83,1284,27.98,54,0,0,0,0,0
1320,L42157,L,299.17,309.89,26.02,36.74,1482,40.35,237,0,0,0,0,0
1321,L81265,L,300.57,311.11,27.42,37.96,1695,35.6,187,0,0,0,0,0
1322,L30967,L,299.62,309.8,26.47,36.65,1580,51.67,1,0,0,0,0,0
1323,M56114,M,301.88,312.43,28.73,39.28,1325,42.33,223,0,0,0,0,0
1324,L42243,L,296.94,307.81,23.79,34.66,1912,32.97,70,0,0,0,0,0
1325,H84363,H,297.01,306.29,23.86,33.14,1649,40.97,100,0,0,0,0,0
1326,L46282,L,300.36,310.66,27.21,37.51,1671,38.39,147,0,0,0,0,0
1327,L99212,L,299.02,308.83,25.87,35.68,1760,39.31,220,0,0,0,0,0
1328,M89011,M,298.75,307.65,25.6,34.5,1248,39.37,223,0,0,0,0,0
1329,M76229,M,296.46,307.18,23.31,34.03,1375,33.84,135,0,0,0,0,0
1330,L82483,L,300.04,309.47,26.89,36.32,1679,31.88,76,0,0,0,0,0
1331,L26956,L,299.89,308.4,26.74,35.25,1393,23.74,67,1,0,0,1,0
1332,M82608,M,301.31,310.77,28.16,37.62,1487,38.22,87,0,0,0,0,0
1333,L71632,L,300.14,309.34,26.99,36.19,1521,32.38,43,0,0,0,0,0
1334,H38256,H,299.73,310.76,26.58,37.61,1311,46.27,161,0,0,0,0,0
1335,H55441,H,302.35,312.51,29.2,39.36,1472,36.81,127,0,0,0,0,0
1336,M32539,M,297.38,308.76,24.23,35.61,1695,25.68,186,0,0,0,0,0
1337,L26002,L,301.07,310.41,27.92,37.26,1663,44.95,23,0,0,0,0,0
1338,M82326,M,296.66,307.53,23.51,34.38,1730,33.78,96,0,0,0,0,0
1339,L27324,L,298.32,311.16,25.17,38.01,1712,40.38,58,0,0,0,0,0
1340,L48918,L,297.57,307.93,24.42,34.78,1606,37.14,128,0,0,0,0,0
1341,L38784,L,301.56,312.43,28.41,39.28,1592,39.7,112,0,0,0,0,0
1342,L65482,L,299.87,310.56,26.72,37.41,1579,25.39,108,0,0,0,0,0
1343,M15599,M,299.97,308.55,26.82,35.4,1425,50.42,76,0,0,0,0,0
1344,M93099,M,297.79,308.37,24.64,35.22,1355,49.32,174,0,0,0,0,0
1345,M33234,M,299.4,309.71,26.25,36.56,1414,40.36,116,0,0,0,0,0
1346,L57011,L,298.47,308.21,25.32,35.06,1478,41.07,49,0,0,0,0,0
1347,L19775,L,300.77,309.88,27.62,36.73,1420,48.36,131,0,0,0,0,0
1348,L28160,L,298.02,308.71,24.87,35.56,1607,32.67,143,0,0,0,0,0
1349,H45060,H,302.66,311.69,29.51,38.54,1570,23.82,5,0,0,0,0,0
1350,L36471,L,296.65,308.78,23.5,35.63,1589,33.23,49,0,0,0,0,0
1351,M34815,M,298.39,308.5,25.24,35.35,1596,37.11,58,0,0,0,0,0
1352,L57805,L,303.35,312.13,30.2,38.98,1744,32.59,60,0,0,0,0,0
1353,L51797,L,299.13,308.62,25.98,35.47,1533,47.9,57,0,0,0,0,0
1354,M88664,M,297.37,307.09,24.22,33.94,1711,25.8,65,0,0,0,0,0
1355,L43635,L,300.44,312.85,27.29,39.7,1625,28.58,63,0,0,0,0,0
1356,M87672,M,299.05,308.16,25.9,35.01,1733,24.6,212,0,0,0,0,0
1357,H17755,H,298.33,308.21,25.18,35.06,1818,34.95,77,0,0,0,0,0
1358,L28245,L,297.81,307.27,24.66,34.12,1636,22.82,84,0,0,0,0,0
1359,L64189,L,305.54,316.04,32.39,42.89,1553,42.84,64,0,0,0,0,0
1360,L68699,L,299.5,308.98,26.35,35.83,1552,29.45,232,0,0,0,0,0
1361,H12445,H,296.15,305.01,23.0,31.86,1453,33.26,129,0,0,0,0,0
1362,L85729,L,302.99,312.79,29.84,39.64,1447,53.76,147,0,0,0,0,0
1363,M12621,M,301.22,310.92,28.07,37.77,1693,43.71,177,0,0,0,0,0
1364,M19498,M,298.47,307.87,25.32,34.72,1366,42.89,80,0,0,0,0,0
1365,M70459,M,298.13,307.59,24.98,34.44,1818,21.03,233,1,1,0,0,0
1366,L64059,L,301.35,312.53,28.2,39.38,1508,54.1,37,0,0,0,0,0
1367,M23354,M,299.51,309.19,26.36,36.04,2036,26.57,110,0,0,0,0,0
1368,H85333,H,296.15,305.01,23.0,31.86,1414,42.51,35,0,0,0,0,0
1369,L62195,L,303.57,313.11,30.42,39.96,1579,43.59,190,0,0,0,0,0
1370,L60538,L,299.13,309.19,25.98,36.04,1473,23.18,26,0,0,0,0,0
1371,H36776,H,302.99,311.65,29.84,38.5,1396,35.92,133,0,0,0,0,0
1372,L13445,L,302.56,314.18,29.41,41.03,1721,32.74,25,0,0,0,0,0
1373,M81024,M,298.0,308.87,24.85,35.72,1342,43.76,109,0,0,0,0,0
1374,L26122,L,302.07,313.5,28.92,40.35,1417,30.01,67,0,0,0,0,0
1375,L80379,L,298.7,309.09,25.55,35.94,1638,37.6,217,1,1,0,0,0
1376,M69791,M,296.27,304.17,23.12,31.02,1665,34.67,13,0,0,0,0,0
1377,L99223,L,299.15,310.69,26.0,37.54,1291,57.71,156,0,0,0,0,0
1378,L43819,L,300.8,309.93,27.65,36.78,1637,43.01,167,0,0,0,0,0
1379,L16015,L,299.07,308.29,25.92,35.14,1558,34.63,213,0,0,0,0,0
1380,L17515,L,299.39,309.54,26.24,36.39,1374,40.12,211,0,0,0,0,0
1381,L42185,L,302.29,313.67,29.14,40.52,1397,49.13,234,1,1,0,0,1
1382,L39853,L,300.21,311.27,27.06,38.12,1179,50.86,61,0,0,0,0,0
1383,H23698,H,298.31,309.22,25.16,36.07,1836,20.25,66,0,0,0,0,0
1384,L45770,L,301.4,311.09,28.25,37.94,1713,50.2,95,1,0,0,1,0
1385,M58104,M,300.4,310.07,27.25,36.92,1309,35.84,129,0,0,0,0,0
1386,L69011,L,294.96,305.3,21.81,32.15,1675,54.04,88,1,0,0,1,0
1387,M72972,M,300.86,310.73,27.71,37.58,1435,43.36,178,0,0,0,0,0
1388,L40152,L,300.78,311.67,27.63,38.52,1695,28.72,2,0,0,0,0,0
1389,H17470,H,300.04,310.87,26.89,37.72,1448,20.63,4,1,0,0,1,0
1390,L32696,L,301.78,312.37,28.63,39.22,1471,45.15,172,0,0,0,0,0
1391,L12547,L,298.66,306.13,25.51,32.98,1485,26.19,212,0,0,0,0,0
1392,L97904,L,300.67,310.8,27.52,37.65,1420,43.21,186,0,0,0,0,0
1393,L23435,L,296.87,306.76,23.72,33.61,1780,47.66,28,0,0,0,0,0
1394,L53845,L,300.81,310.98,27.66,37.83,1692,24.76,224,0,0,0,0,0
1395,L28759,L,303.91,313.15,30.76,40.0,1554,42.77,125,0,0,0,0,0
1396,M58235,M,298.01,306.69,24.86,33.54,1714,26.93,178,0,0,0,0,0
1397,L20722,L,298.48,308.94,25.33,35.79,1250,54.89,48,0,0,0,0,0
1398,L38055,L,298.58,308.22,25.43,35.07,1320,43.93,132,0,0,0,0,0
1399,M13810,M,300.26,310.83,27.11,37.68,1618,35.26,79,0,0,0,0,0
1400,M76842,M,297.87,307.2,24.72,34.05,1664,44.1,234,0,0,0,0,0
1401,L59151,L,300.84,312.26,27.69,39.11,1584,41.18,114,0,0,0,0,0
1402,L22127,L,301.69,312.69,28.54,39.54,1206,41.09,181,0,0,0,0,0
1403,L53662,L,301.07,311.37,27.92,38.22,1349,56.77,145,0,0,0,0,0
1404,M31421,M,296.46,306.25,23.31,33.1,1608,23.35,23,0,0,0,0,0
1405,M36183,M,301.99,312.84,28.84,39.69,1960,31.44,130,0,0,0,0,0
1406,L65966,L,301.87,312.27,28.72,39.12,1748,26.19,130,0,0,0,0,0
1407,M20695,M,301.66,311.9,28.51,38.75,1811,19.74,172,0,0,0,0,0
1408,M28342,M,300.75,311.79,27.6,38.64,1594,26.86,77,0,0,0,0,0
1409,L48109,L,300.44,311.87,27.29,38.72,1593,35.57,207,0,0,0,0,0
1410,M12391,M,302.06,310.81,28.91,37.66,1354,45.11,149,0,0,0,0,0
1411,L40373,L,303.85,312.8,30.7,39.65,1702,42.14,9,0,0,0,0,0
1412,L54033,L,298.09,307.31,24.94,34.16,1522,49.45,170,0,0,0,0,0
1413,L61182,L,302.16,310.65,29.01,37.5,1656,36.82,218,0,0,0,0,0
1414,L93999,L,299.83,309.76,26.68,36.61,1540,33.65,164,0,0,0,0,0
1415,L27657,L,299.74,310.34,26.59,37.19,1584,44.49,91,0,0,0,0,0
1416,H40662,H,296.93,306.91,23.78,33.76,1520,32.79,142,0,0,0,0,0
1417,L74608,L,299.43,308.9,26.28,35.75,1574,23.63,41,0,0,0,0,0
1418,L24844,L,298.01,309.13,24.86,35.98,1710,41.02,144,0,0,0,0,0
1419,L51052,L,299.07,309.21,25.92,36.06,1313,54.21,120,0,0,0,0,0
1420,H86973,H,297.8,308.15,24.65,35.0,1274,38.41,6,0,0,0,0,0
1421,L39983,L,299.1,310.26,25.95,37.11,1610,51.28,77,0,0,0,0,0
1422,L60287,L,299.19,309.06,26.04,35.91,1787,36.73,46,0,0,0,0,0
1423,L62444,L,300.19,312.25,27.04,39.1,1831,34.76,94,0,0,0,0,0
1424,L25990,L,296.77,306.32,23.62,33.17,1321,39.25,58,0,0,0,0,0
1425,H41269,H,297.11,309.11,23.96,35.96,1464,47.26,200,0,0,0,0,0
1426,H68151,H,300.72,309.75,27.57,36.6,1276,32.7,167,0,0,0,0,0
1427,L22349,L,298.41,308.92,25.26,35.77,1439,37.11,178,0,0,0,0,0
1428,H93125,H,302.15,311.51,29.0,38.36,1731,27.22,87,0,0,0,0,0
1429,M96517,M,300.45,311.57,27.3,38.42,1533,26.91,1,0,0,0,0,0
1430,M23256,M,301.21,310.74,28.06,37.59,1470,45.89,53,0,0,0,0,0
1431,L93982,L,302.82,313.11,29.67,39.96,1630,37.87,181,0,0,0,0,0
1432,L11816,L,299.38,308.73,26.23,35.58,1396,47.48,145,0,0,0,0,0
1433,L45007,L,298.85,309.79,25.7,36.64,1814,29.36,129,0,0,0,0,0
1434,M46235,M,301.74,311.09,28.59,37.94,1536,45.18,67,0,0,0,0,0
1435,L92498,L,301.02,312.7,27.87,39.55,1465,39.74,18,0,0,0,0,0
1436,L10202,L,299.63,308.63,26.48,35.48,1638,31.21,188,0,0,0,0,0
1437,L11111,L,302.78,311.44,29.63,38.29,1699,28.6,9,0,0,0,0,0
1438,M41764,M,299.58,310.53,26.43,37.38,1814,15.72,14,1,0,0,1,0
1439,L31919,L,300.07,309.47,26.92,36.32,1498,47.56,71,0,0,0,0,0
1440,M65173,M,300.04,310.04,26.89,36.89,1725,41.62,138,0,0,0,0,0
1441,H73699,H,298.13,307.81,24.98,34.66,1553,60.32,238,1,1,0,1,1
1442,L72735,L,300.16,308.84,27.01,35.69,1428,37.45,22,0,0,0,0,0
1443,M56386,M,302.79,312.72,29.64,39.57,1399,35.62,114,0,0,0,0,0
1444,L21605,L,300.89,312.15,27.74,39.0,1343,29.05,144,0,0,0,0,0
1445,M41993,M,300.06,311.07,26.91,37.92,1405,48.45,198,0,0,0,0,0
1446,L46640,L,299.68,309.91,26.53,36.76,1730,38.95,166,0,0,0,0,0
1447,M49558,M,300.66,311.77,27.51,38.62,1659,46.96,194,0,0,0,0,0
1448,M47138,M,301.5,310.44,28.35,37.29,1318,36.15,125,0,0,0,0,0
1449,H50948,H,301.22,310.89,28.07,37.74,1229,52.34,104,0,0,0,0,0
1450,M96772,M,299.34,309.73,26.19,36.58,1340,38.57,148,0,0,0,0,0
1451,L30853,L,300.65,310.52,27.5,37.37,1399,51.7,216,1,0,0,0,1
1452,M94031,M,300.96,310.71,27.81,37.56,1482,42.95,132,0,0,0,0,0
1453,M85761,M,297.99,306.78,24.84,33.63,1740,20.48,145,0,0,0,0,0
1454,L21800,L,300.34,308.26,27.19,35.11,1439,38.76,81,0,0,0,0,0
1455,L98774,L,295.68,306.5,22.53,33.35,1829,15.74,143,1,0,0,1,0
1456,H69027,H,300.97,311.21,27.82,38.06,1241,36.86,151,0,0,0,0,0
1457,M37572,M,301.32,312.22,28.17,39.07,1474,30.05,181,0,0,0,0,0
1458,M85230,M,301.5,311.06,28.35,37.91,1672,29.13,137,0,0,0,0,0
1459,L43001,L,299.21,308.5,26.06,35.35,1683,31.94,47,0,0,0,0,0
1460,M31029,M,300.62,310.62,27.47,37.47,1476,40.13,140,0,0,0,0,0
1461,L61299,L,302.85,313.7,29.7,40.55,1710,34.42,71,0,0,0,0,0
1462,M24949,M,302.83,312.6,29.68,39.45,1677,33.97,21,0,0,0,0,0
1463,L35955,L,299.94,310.74,26.79,37.59,1416,43.13,198,0,0,0,0,0
1464,M83108,M,300.28,309.27,27.13,36.12,1590,26.03,16,0,0,0,0,0
1465,H68431,H,302.22,312.06,29.07,38.91,1658,35.14,152,0,0,0,0,0
1466,L74083,L,297.0,306.93,23.85,33.78,1428,51.59,237,1,1,0,0,1
1467,H94840,H,299.35,310.58,26.2,37.43,1832,29.96,21,0,0,0,0,0
1468,L45374,L,302.67,312.88,29.52,39.73,1389,45.21,53,0,0,0,0,0
1469,M36544,M,301.95,313.7,28.8,40.55,1560,39.94,183,0,0,0,0,0
1470,M48756,M,300.74,309.39,27.59,36.24,1316,50.43,23,0,0,0,0,0
1471,L50541,L,296.99,307.12,23.84,33.97,1553,39.19,200,0,0,0,0,0
1472,M88033,M,299.9,310.08,26.75,36.93,1348,49.26,0,0,0,0,0,0
1473,M79246,M,298.82,309.44,25.67,36.29,1484,42.68,214,0,0,0,0,0
1474,L40209,L,300.66,309.85,27.51,36.7,1257,50.83,16,0,0,0,0,0
1475,L56571,L,298.38,310.07,25.23,36.92,1675,37.74,221,0,0,0,0,0
1476,M31449,M,297.95,307.96,24.8,34.81,1597,27.81,207,0,0,0,0,0
1477,M23872,M,295.87,304.78,22.72,31.63,1725,23.84,129,0,0,0,0,0
1478,M62245,M,302.44,312.43,29.29,39.28,1474,36.04,187,0,0,0,0,0
1479,M64550,M,299.2,308.89,26.05,35.74,1733,45.47,18,0,0,0,0,0
1480,L83781,L,300.31,313.1,27.16,39.95,1542,35.79,32,0,0,0,0,0
1481,M75203,M,300.0,311.05,26.85,37.9,1555,39.33,89,0,0,0,0,0
1482,L59348,L,297.87,307.91,24.72,34.76,1905,14.34,129,1,0,0,1,0
1483,L81278,L,297.48,307.37,24.33,34.22,1450,41.06,208,0,0,0,0,0
1484,L48864,L,297.99,308.94,24.84,35.79,1750,33.43,130,0,0,0,0,0
1485,L63089,L,298.55,309.55,25.4,36.4,1619,14.0,160,1,0,0,1,0
1486,L92923,L,300.73,307.82,27.58,34.67,1435,42.26,163,0,0,0,0,0
1487,L35863,L,298.41,309.05,25.26,35.9,1305,30.71,211,0,0,0,0,0
1488,M14646,M,303.49,313.52,30.34,40.37,1354,36.51,186,0,0,0,0,0
1489,L41358,L,302.05,310.74,28.9,37.59,1733,41.02,234,1,1,0,0,0
1490,L23590,L,301.62,312.5,28.47,39.35,1839,32.42,5,0,0,0,0,0
1491,L45881,L,299.76,312.01,26.61,38.86,1551,33.35,50,0,0,0,0,0
1492,L10876,L,303.03,313.59,29.88,40.44,1560,32.45,223,1,1,0,0,0
1493,L95041,L,299.56,310.66,26.41,37.51,1671,30.95,190,0,0,0,0,0
1494,L10601,L,299.94,311.74,26.79,38.59,1548,38.3,64,0,0,0,0,0
1495,M96972,M,300.34,309.51,27.19,36.36,1727,23.56,234,0,0,0,0,0
1496,M67509,M,301.4,309.55,28.25,36.4,1586,45.12,209,0,0,0,0,0
1497,M66951,M,301.27,311.93,28.12,38.78,1559,27.58,16,0,0,0,0,0
1498,L73013,L,299.05,308.8,25.9,35.65,1413,26.74,195,0,0,0,0,0
1499,L86549,L,298.93,307.56,25.78,34.41,1370,49.76,188,0,0,0,0,0
1500,M95974,M,301.28,311.2,28.13,38.05,1100,48.59,53,0,0,0,0,0
1501,L48796,L,301.43,312.16,28.28,39.01,1751,33.29,161,0,0,0,0,0
1502,L38296,L,299.21,309.06,26.06,35.91,1509,43.2,233,1,1,0,0,0
1503,L44213,L,296.83,306.04,23.68,32.89,1465,33.36,162,0,0,0,0,0
1504,L34351,L,299.59,309.36,26.44,36.21,1193,49.11,195,0,0,0,0,0
1505,L98975,L,301.25,311.23,28.1,38.08,1423,45.45,24,0,0,0,0,0
1506,L11667,L,303.61,311.68,30.46,38.53,1400,54.07,175,0,0,0,0,0
1507,L56262,L,297.6,307.46,24.45,34.31,1396,36.96,49,0,0,0,0,0
1508,L82498,L,299.15,307.8,26.0,34.65,1593,32.26,17,0,0,0,0,0
1509,M61483,M,299.22,309.88,26.07,36.73,1556,41.32,132,0,0,0,0,0
1510,M21004,M,302.71,311.15,29.56,38.0,1297,45.85,180,1,0,1,0,0
1511,M53397,M,299.93,310.94,26.78,37.79,1308,42.71,131,0,0,0,0,0
1512,M52755,M,298.19,307.78,25.04,34.63,1308,56.56,224,1,1,0,0,1
1513,H81935,H,301.12,310.57,27.97,37.42,1852,17.48,167,1,0,0,1,0
1514,L33156,L,299.19,309.49,26.04,36.34,1796,20.52,28,0,0,0,0,0
1515,L73772,L,297.55,306.69,24.4,33.54,1386,27.98,224,1,1,0,0,0
1516,L54860,L,298.21,308.49,25.06,35.34,1189,57.8,37,0,0,0,0,0
1517,M62539,M,303.47,312.74,30.32,39.59,1557,40.91,182,0,0,0,0,0
1518,M86757,M,300.77,310.21,27.62,37.06,1543,26.16,36,0,0,0,0,0
1519,L60621,L,300.22,310.62,27.07,37.47,1590,35.04,240,0,0,0,0,0
1520,H37953,H,299.5,308.36,26.35,35.21,1665,34.2,80,0,0,0,0,0
1521,L58575,L,300.58,309.32,27.43,36.17,1614,17.82,119,1,0,0,1,0
1522,H57917,H,300.56,310.81,27.41,37.66,1340,44.28,112,0,0,0,0,0
1523,L97214,L,300.58,310.56,27.43,37.41,1586,26.7,24,0,0,0,0,0
1524,L56082,L,300.23,310.4,27.08,37.25,1684,39.67,119,0,0,0,0,0
1525,L33024,L,301.74,312.07,28.59,38.92,1408,31.51,36,0,0,0,0,0
1526,L35049,L,300.05,310.1,26.9,36.95,1587,37.85,192,0,0,0,0,0
1527,L67995,L,298.04,308.65,24.89,35.5,1438,50.19,230,1,1,0,0,1
1528,L29711,L,298.78,308.87,25.63,35.72,1884,38.2,194,0,0,0,0,0
1529,M72090,M,296.04,304.03,22.89,30.88,1303,48.04,103,1,0,1,0,0
1530,L79657,L,304.05,312.31,30.9,39.16,1737,32.33,1,0,0,0,0,0
1531,L77256,L,301.73,313.65,28.58,40.5,1243,34.11,9,0,0,0,0,0
1532,M42110,M,298.34,308.34,25.19,35.19,1849,27.48,119,0,0,0,0,0
1533,M10591,M,299.44,310.39,26.29,37.24,1335,41.1,163,0,0,0,0,0
1534,L21775,L,298.73,308.38,25.58,35.23,1568,34.15,197,0,0,0,0,0
1535,L64975,L,303.09,313.03,29.94,39.88,1250,33.57,144,0,0,0,0,0
1536,L95668,L,297.16,306.71,24.01,33.56,1299,47.59,235,1,1,0,0,1
1537,L48644,L,300.23,312.69,27.08,39.54,1692,24.41,119,1,0,0,0,0
1538,M81816,M,299.78,310.04,26.63,36.89,1715,45.78,144,0,0,0,0,0
1539,L35758,L,301.65,311.12,28.5,37.97,1577,37.52,55,0,0,0,0,0
1540,L60940,L,299.79,308.14,26.64,34.99,1665,42.25,82,0,0,0,0,0
1541,M31244,M,296.48,308.46,23.33,35.31,1718,41.02,164,0,0,0,0,0
1542,L74449,L,299.5,309.33,26.35,36.18,1415,57.11,144,0,0,0,0,0
1543,L75359,L,298.06,308.8,24.91,35.65,1290,45.86,89,0,0,0,0,0
1544,L57573,L,300.16,311.02,27.01,37.87,1533,34.26,27,0,0,0,0,0
1545,H42087,H,302.87,312.41,29.72,39.26,1434,36.99,82,0,0,0,0,0
1546,L10681,L,296.52,307.19,23.37,34.04,1603,47.71,11,0,0,0,0,0
1547,M44383,M,298.4,307.8,25.25,34.65,1631,24.57,139,0,0,0,0,0
1548,L26787,L,298.89,307.9,25.74,34.75,1416,33.45,78,0,0,0,0,0
1549,L18268,L,299.24,310.4,26.09,37.25,1658,36.45,91,0,0,0,0,0
1550,M39997,M,301.48,311.32,28.33,38.17,1649,33.51,138,0,0,0,0,0
1551,H28110,H,299.65,310.17,26.5,37.02,1662,42.22,140,0,0,0,0,0
1552,M78368,M,300.83,311.24,27.68,38.09,1464,28.44,141,0,0,0,0,0
1553,M22148,M,298.75,309.39,25.6,36.24,1671,33.74,118,0,0,0,0,0
1554,M29092,M,300.46,308.9,27.31,35.75,1626,33.74,117,0,0,0,0,0
1555,L34083,L,301.56,310.97,28.41,37.82,1647,26.21,197,0,0,0,0,0
1556,L62566,L,298.54,308.21,25.39,35.06,1829,38.36,112,0,0,0,0,0
1557,M29087,M,301.56,310.73,28.41,37.58,1592,35.25,129,0,0,0,0,0
1558,L48329,L,300.1,310.53,26.95,37.38,1429,39.03,237,1,1,0,0,0
1559,M74238,M,302.09,313.28,28.94,40.13,1341,36.14,43,0,0,0,0,0
1560,H62222,H,299.6,310.94,26.45,37.79,1732,30.11,174,0,0,0,0,0
1561,L32517,L,300.76,310.42,27.61,37.27,1598,27.69,114,0,0,0,0,0
1562,L78753,L,299.92,310.21,26.77,37.06,1827,38.27,199,0,0,0,0,0
1563,M53372,M,299.81,310.25,26.66,37.1,1180,56.83,97,0,0,0,0,0
1564,L98496,L,300.52,311.14,27.37,37.99,1694,47.26,73,0,0,0,0,0
1565,M73224,M,301.07,310.2,27.92,37.05,1489,41.94,50,0,0,0,0,0
1566,L26538,L,297.5,309.32,24.35,36.17,1473,36.18,209,0,0,0,0,0
1567,M85417,M,302.87,313.79,29.72,40.64,1401,37.14,172,0,0,0,0,0
1568,L85227,L,296.28,307.23,23.13,34.08,1692,37.78,18,0,0,0,0,0
1569,M16251,M,298.63,309.83,25.48,36.68,1642,36.49,171,0,0,0,0,0
1570,L55920,L,299.81,310.35,26.66,37.2,1335,41.52,8,0,0,0,0,0
1571,L84852,L,300.82,309.8,27.67,36.65,1564,34.54,44,0,0,0,0,0
1572,L58392,L,303.15,313.01,30.0,39.86,1659,43.91,142,0,0,0,0,0
1573,M56087,M,296.28,304.63,23.13,31.48,1566,33.13,111,0,0,0,0,0
1574,M97891,M,298.98,309.4,25.83,36.25,1729,43.91,202,0,0,0,0,0
1575,L19051,L,295.75,305.58,22.6,32.43,1484,40.06,146,0,0,0,0,0
1576,L57639,L,300.06,310.02,26.91,36.87,1140,47.29,232,0,0,0,0,0
1577,L13284,L,300.54,311.75,27.39,38.6,1568,30.27,205,0,0,0,0,0
1578,M50492,M,303.18,312.72,30.03,39.57,1567,35.34,82,0,0,0,0,0
1579,M28953,M,300.24,309.99,27.09,36.84,1589,40.07,200,0,0,0,0,0
1580,L33377,L,302.09,312.11,28.94,38.96,1729,30.13,209,0,0,0,0,0
1581,L35726,L,301.17,309.33,28.02,36.18,1193,54.82,233,1,1,1,0,1
1582,L14886,L,299.13,308.86,25.98,35.71,1493,34.95,3,0,0,0,0,0
1583,L28108,L,297.18,304.7,24.03,31.55,1374,40.72,210,1,0,1,0,0
1584,L24245,L,300.55,309.96,27.4,36.81,1324,32.99,17,0,0,0,0,0
1585,H11247,H,297.02,307.87,23.87,34.72,1522,42.11,127,0,0,0,0,0
1586,L50807,L,302.59,313.04,29.44,39.89,1658,32.42,100,0,0,0,0,0
1587,M82758,M,299.68,309.08,26.53,35.93,1588,48.72,221,0,0,0,0,0
1588,L55753,L,302.39,312.43,29.24,39.28,1415,46.14,97,0,0,0,0,0
1589,L25100,L,299.04,307.96,25.89,34.81,1510,38.63,143,0,0,0,0,0
1590,M61294,M,300.54,310.54,27.39,37.39,1698,43.55,166,0,0,0,0,0
1591,M92703,M,300.42,313.35,27.27,40.2,1655,37.87,5,0,0,0,0,0
1592,H84252,H,299.91,311.76,26.76,38.61,1438,47.9,142,0,0,0,0,0
1593,L49771,L,299.13,309.19,25.98,36.04,1427,33.25,124,1,0,0,0,0
1594,L87171,L,300.78,310.95,27.63,37.8,1235,50.1,143,0,0,0,0,0
